DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3893.8,0.2348,2.2803,42.9012,2.0862,5.4056,8.5569,85.85823925748745
3893.9,0.2326,2.2722,44.044,1.9685,5.3086,8.5569,84.65257087751041
3894.0,0.2307,2.2652,43.2659,1.8942,5.2369,8.5569,85.72563440352606
3894.1,0.2314,2.2615,44.8295,1.8403,5.2287,8.5569,86.08810657463256
3894.2,0.2351,2.2608,44.9296,1.7434,5.2771,8.5569,87.05060912329563
3894.3,0.2402,2.2611,43.3586,1.6687,5.3364,8.5569,91.74142643663701
3894.4,0.2441,2.2613,42.6634,1.5234,5.3766,8.5569,87.52796231046601
3894.5,0.2464,2.2613,43.9968,1.3697,5.3987,8.5569,88.36519436284168
3894.6,0.2477,2.2627,44.632,1.2406,5.4222,8.5569,92.00581192760588
3894.7,0.2426,2.2655,46.2773,1.168,5.4474,8.5569,90.84576828571623
3894.8,0.2486,2.2689,48.2256,1.0798,5.4557,8.5569,89.69604453126867
3894.9,0.2481,2.2714,48.558,1.0175,5.4437,8.5569,89.22769073133334
3895.0,0.247,2.2736,50.0831,0.9971,5.4366,8.5569,87.88668508504459
3895.1,0.2456,2.2768,47.5744,0.9719,5.4589,8.5569,88.97439035325141
3895.2,0.2445,2.2823,46.2596,0.9372,5.5099,8.5569,88.42923117754576
3895.3,0.2454,2.2881,47.9373,0.9113,5.5554,8.5569,88.64402052633368
3895.4,0.2486,2.2913,48.3191,0.8964,5.567,8.5569,86.81088587020825
3895.5,0.2517,2.2905,48.2171,0.8589,5.5533,8.5569,87.83809841183394
3895.6,0.2523,2.287,48.1876,0.8328,5.5411,8.5569,89.32000640978058
3895.7,0.2515,2.283,48.4353,0.8211,5.5472,8.5569,89.44212780589004
3895.8,0.2522,2.2799,46.8662,0.8049,5.5596,8.5569,90.38045724274532
3895.9,0.2554,2.2781,46.4698,0.7975,5.5521,8.5569,89.11193704790429
3896.0,0.2592,2.2779,47.6175,0.7913,5.5139,8.5569,90.22763715347006
3896.1,0.2601,2.279,49.4772,0.788,5.4587,8.5569,89.56993555591279
3896.2,0.2561,2.2816,50.0791,0.787,5.4272,8.5569,88.94295655774168
3896.3,0.2483,2.2859,48.0314,0.7824,5.4579,8.5569,89.16424870427896
3896.4,0.2392,2.2938,49.1234,0.7769,5.5511,8.5569,86.32274064265448
3896.5,0.2302,2.307,49.4175,0.7779,5.6738,8.5569,81.63116682801885
3896.6,0.2222,2.3243,46.8614,0.7934,5.7871,8.5569,78.97853340865467
3896.7,0.2151,2.3428,45.4872,0.8248,5.8858,8.5569,78.03024856344719
3896.8,0.2088,2.3609,45.3574,0.8909,5.9812,8.5569,79.38228941282591
3896.9,0.2016,2.3803,44.6333,0.9883,6.1083,8.5569,79.78678965615102
3897.0,0.1923,2.4037,43.6126,1.1144,6.2555,8.5569,81.13675508955053
3897.1,0.1816,2.4262,42.223,1.257,6.3769,8.5569,78.26167042973528
3897.2,0.1707,2.4455,42.767,1.4155,6.4587,8.5569,75.93402377222682
3897.3,0.161,2.4635,40.2803,1.5602,6.5151,8.5569,74.40321871773408
3897.4,0.1527,2.4833,41.1048,1.7603,6.5677,8.5569,73.56337218809583
3897.5,0.1453,2.5073,41.4863,2.0396,6.627,8.5569,72.90841692078594
3897.6,0.1358,2.5296,39.5857,2.3643,6.6695,8.557,72.90540633014672
3897.7,0.1306,2.5443,38.4819,2.6985,6.6654,8.6057,72.15144543963515
3897.8,0.1247,2.5574,37.1884,3.1354,6.6383,8.622,70.88574753054313
3897.9,0.1222,2.5699,37.6663,3.7745,6.6306,8.6383,70.923706038212
3898.0,0.1209,2.5793,38.6194,4.5603,6.6568,8.6383,70.10816608962803
3898.1,0.1198,2.586,39.1616,5.9227,6.7086,8.6383,69.42085859575052
3898.2,0.1175,2.5932,38.0318,6.7975,6.7739,8.6383,68.91857882696772
3898.3,0.1142,2.6041,38.5319,6.9811,6.8679,8.6383,68.36791917424084
3898.4,0.1123,2.6171,37.0584,6.6453,6.9899,8.6383,67.56846035824614
3898.5,0.114,2.6252,38.2553,6.2984,7.0937,8.6383,68.1428022156918
3898.6,0.119,2.6218,38.6025,6.3619,7.1174,8.6384,68.51054920847949
3898.7,0.1224,2.6057,38.3201,6.8701,7.046,8.6871,70.16476007590502
3898.8,0.1286,2.5877,38.2033,7.8544,6.9608,8.6871,69.687509610884
3898.9,0.1368,2.5771,38.8466,9.4317,6.9469,8.687,69.88918893968997
3899.0,0.1404,2.5747,38.8454,12.9873,7.008,8.6383,67.73673403753949
3899.1,0.1427,2.5758,39.3025,17.5947,7.0654,8.6383,65.30964441907525
3899.2,0.1443,2.5759,41.0302,21.4977,7.0351,8.6383,65.11525605527535
3899.3,0.1517,2.5706,38.8103,14.8631,6.8791,8.6381,67.34767462387491
3899.4,0.1545,2.5551,38.308,10.3944,6.6687,8.557,69.14537019843235
3899.5,0.153,2.5294,38.2158,11.7039,6.5634,8.5814,70.36829615646725
3899.6,0.1519,2.5005,35.7274,30.1075,6.602,8.6057,65.88012336519333
3899.7,0.1484,2.4801,35.0233,244.5896,6.7497,8.6057,65.81208135275466
3899.8,0.1433,2.4762,33.9884,62290.7695,6.9002,8.6058,66.4920106299484
3899.9,0.1427,2.4868,32.4593,62290.7695,6.9275,8.6383,65.11286392368162
3900.0,0.1448,2.5016,33.1195,62290.7695,6.7852,8.6383,65.8032133760916
3900.1,0.1477,2.5108,35.3515,62290.7695,6.5424,8.6382,67.41499575219146
3900.2,0.1516,2.5103,33.3814,62290.7695,6.3318,8.6057,67.4085702028436
3900.3,0.1511,2.5009,32.7573,62290.7695,6.241,8.6057,67.4221985028258
3900.4,0.1511,2.4877,32.3821,62290.7695,6.2455,8.6056,67.42835300850604
3900.5,0.142,2.4756,32.7115,62290.7695,6.2553,8.5814,66.25858344196476
3900.6,0.1352,2.4681,33.2915,62290.7695,6.213,8.6058,64.23683238250669
3900.7,0.1273,2.4647,31.9695,62290.7695,6.1169,8.6382,63.020878762272474
3900.8,0.1249,2.4635,30.2926,62290.7695,5.9902,8.6057,62.8489496621263
3900.9,0.1212,2.4623,28.491,62290.7695,5.8427,8.6056,63.91140885210508
3901.0,0.1211,2.4585,27.4743,62290.7695,5.698,8.5812,63.80313709364492
3901.1,0.1186,2.4509,27.7418,62290.7695,5.5712,8.5569,63.641114631854606
3901.2,0.1175,2.4409,26.383,62290.7695,5.4825,8.5569,64.9033867731994
3901.3,0.1176,2.4312,24.157,62290.7695,5.46,8.5569,64.73586428054655
3901.4,0.1185,2.4245,24.3429,62290.7695,5.5234,8.5569,64.76868415055431
3901.5,0.1198,2.4209,24.7297,62290.7695,5.6606,8.5569,64.27676977214803
3901.6,0.1206,2.4204,23.6796,62290.7695,5.8064,8.5569,63.95183432372302
3901.7,0.1196,2.4232,23.1674,62290.7695,5.8942,8.5569,63.38076012399969
3901.8,0.1134,2.4283,23.673,62290.7695,5.8912,8.557,63.34300052453315
3901.9,0.1124,2.434,24.2487,62290.7695,5.8038,8.6056,63.63612197134573
3902.0,0.1081,2.4389,24.4074,62290.7695,5.6622,8.5569,63.320096867074994
3902.1,0.1044,2.4439,24.0958,62290.7695,5.4982,8.5569,64.27613852537691
3902.2,0.101,2.4494,22.8691,62290.7695,5.3611,8.5569,63.612938368999636
3902.3,0.0979,2.4543,22.0349,62290.7695,5.2955,8.5569,63.629213379150116
3902.4,0.0958,2.4569,20.9476,62290.7695,5.3216,8.5569,63.62266551712388
3902.5,0.0946,2.4576,20.8669,62290.7695,5.4111,8.5569,63.64945905917702
3902.6,0.0944,2.458,21.3262,62290.7695,5.5064,8.5569,63.64283053489983
3902.7,0.0944,2.4583,21.694,62290.7695,5.5609,8.5569,62.32585384441756
3902.8,0.0942,2.4578,22.1199,62290.7695,5.5574,8.5569,62.32250479204681
3902.9,0.0935,2.4559,22.3262,62290.7695,5.5105,8.5569,63.692568062744
3903.0,0.0923,2.4513,21.0659,62290.7695,5.4377,8.557,63.62120207063619
3903.1,0.0885,2.4433,19.1781,62290.7695,5.3625,8.6057,64.08703475901756
