DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3203.6,0.066,2.605,8.704,8.64,7.292,8.547,62.96086446807876
3203.7,0.064,2.604,7.853,8.609,7.262,8.547,62.99883905337428
3203.8,0.063,2.601,7.555,8.58,7.244,8.547,63.001871800830685
3203.9,0.062,2.599,6.956,8.43,7.242,8.547,63.001802250483195
3204.0,0.061,2.6,6.327,8.197,7.266,8.547,63.00024962417932
3204.1,0.061,2.603,6.508,8.215,7.304,8.547,63.04224489235915
3204.2,0.062,2.606,6.104,7.966,7.326,8.547,62.96544690057354
3204.3,0.066,2.608,6.422,7.92,7.288,8.547,62.9591159733837
3204.4,0.073,2.607,6.338,7.963,7.186,8.547,63.10091184572376
3204.5,0.079,2.603,5.787,8.097,7.049,8.552,63.14553667205408
3204.6,0.086,2.595,7.03,8.111,6.926,8.555,63.536405687721185
3204.7,0.092,2.588,9.208,7.122,6.856,8.547,64.36319284909818
3204.8,0.097,2.583,12.313,6.277,6.85,8.547,64.67754918875175
3204.9,0.101,2.58,15.883,5.794,6.889,8.547,65.77668593810782
3205.0,0.103,2.578,18.757,5.624,6.936,8.547,66.58457349099893
3205.1,0.102,2.578,20.085,5.994,6.984,8.547,66.54616961247227
3205.2,0.099,2.581,21.209,6.803,7.042,8.547,66.90461287211339
3205.3,0.093,2.588,23.076,6.991,7.114,8.547,67.02173470270287
3205.4,0.087,2.596,22.074,6.756,7.193,8.547,66.61277570710415
3205.5,0.081,2.604,19.757,5.785,7.239,8.547,65.70241560741803
3205.6,0.076,2.607,18.18,5.725,7.24,8.547,65.53788375569228
3205.7,0.071,2.608,15.8,5.659,7.201,8.547,65.31157014979905
3205.8,0.067,2.606,13.736,6.532,7.152,8.547,63.62834196460986
3205.9,0.064,2.602,11.588,6.4,7.121,8.547,63.77041883454882
3206.0,0.064,2.598,9.156,7.015,7.126,8.555,63.43396784345656
3206.1,0.065,2.597,9.458,7.877,7.172,8.563,63.51372834937084
3206.2,0.065,2.598,12.29,7.668,7.246,8.578,63.45298661449283
3206.3,0.068,2.6,12.98,7.661,7.302,8.578,63.218774727938595
3206.4,0.072,2.601,12.994,7.624,7.314,8.555,63.23591132758669
3206.5,0.075,2.601,14.464,7.646,7.292,8.547,63.79577922776721
3206.6,0.077,2.6,16.012,7.593,7.259,8.547,65.25355390119736
3206.7,0.079,2.599,15.904,7.693,7.221,8.547,65.42285740040494
3206.8,0.08,2.597,16.774,7.695,7.181,8.547,65.70500037232253
3206.9,0.081,2.595,17.483,7.574,7.135,8.547,65.61795143315437
3207.0,0.082,2.592,17.805,7.578,7.088,8.547,65.66429911001428
3207.1,0.085,2.59,18.792,7.28,7.048,8.547,66.01392277134434
3207.2,0.089,2.589,20.633,7.121,7.016,8.547,66.62495752630386
3207.3,0.094,2.585,21.248,7.296,7.007,8.547,66.59907070686852
3207.4,0.098,2.579,21.914,7.791,7.026,8.547,66.99440829765257
3207.5,0.1,2.572,22.648,7.85,7.082,8.547,66.93830853738164
3207.6,0.098,2.567,21.772,7.394,7.157,8.547,66.89976960031576
3207.7,0.095,2.564,19.932,6.747,7.219,8.547,65.466956489462
3207.8,0.09,2.566,16.897,6.75,7.265,8.555,65.36861506333044
3207.9,0.085,2.57,14.429,6.708,7.301,8.555,63.718108026544314
3208.0,0.081,2.575,12.924,6.855,7.325,8.547,62.813034904092746
3208.1,0.078,2.58,11.15,6.852,7.33,8.547,63.04430091039633
3208.2,0.077,2.583,10.463,6.849,7.316,8.547,63.265335181546234
3208.3,0.076,2.582,9.681,6.847,7.289,8.547,63.138118329361305
3208.4,0.077,2.577,9.188,6.844,7.251,8.547,62.81296244372288
3208.5,0.077,2.572,9.518,6.82,7.188,8.547,63.44914430457837
3208.6,0.078,2.569,9.607,6.761,7.1,8.547,63.47127459978975
3208.7,0.08,2.568,10.562,6.734,7.009,8.547,63.557100297148224
3208.8,0.082,2.568,11.023,6.5,6.939,8.547,64.04624236888156
3208.9,0.087,2.569,12.27,6.378,6.904,8.547,64.27314413903422
3209.0,0.096,2.57,15.415,6.486,6.894,8.547,66.14618288111468
3209.1,0.106,2.571,19.398,6.541,6.893,8.547,66.94705588946948
3209.2,0.116,2.571,22.834,6.449,6.881,8.547,68.2571030668644
3209.3,0.122,2.57,28.976,6.169,6.831,8.568,72.78250200730304
3209.4,0.124,2.571,33.25,5.497,6.775,8.578,74.21545274649391
3209.5,0.118,2.572,34.376,4.803,6.772,8.578,73.47916534338226
3209.6,0.108,2.573,32.219,4.368,6.842,8.568,73.58562864337276
3209.7,0.092,2.574,29.045,4.34,6.928,8.547,71.53282646534214
3209.8,0.078,2.578,24.28,5.091,6.955,8.547,67.21701911985892
3209.9,0.068,2.585,19.088,6.276,6.916,8.547,66.53151932529858
3210.0,0.063,2.594,15.069,7.81,6.851,8.535,66.10441543794613
3210.1,0.061,2.599,11.435,8.975,6.814,8.538,64.51203897608748
3210.2,0.062,2.599,9.972,8.911,6.831,8.547,64.17678863401441
3210.3,0.066,2.593,10.513,8.631,6.878,8.547,64.30080945141128
3210.4,0.072,2.587,11.012,8.229,6.937,8.547,64.01182855621917
3210.5,0.078,2.583,13.071,8.096,6.981,8.547,63.28062535310231
3210.6,0.082,2.583,15.142,8.149,7.012,8.547,65.1807908648292
3210.7,0.084,2.585,17.285,8.056,7.066,8.547,65.64364568418318
3210.8,0.084,2.589,19.193,8.093,7.131,8.547,65.62498787902648
3210.9,0.082,2.594,19.611,7.924,7.176,8.547,65.75705304545984
3211.0,0.08,2.598,19.419,7.612,7.172,8.547,65.80019728676747
3211.1,0.077,2.598,18.907,7.387,7.115,8.547,65.82771575992258
3211.2,0.076,2.595,16.956,7.387,7.023,8.547,65.75280635464142
3211.3,0.075,2.59,15.142,7.644,6.933,8.547,65.60237074984312
3211.4,0.075,2.586,12.993,7.395,6.914,8.547,64.14168476745722
3211.5,0.076,2.586,12.828,7.31,6.988,8.547,63.58291790237696
3211.6,0.077,2.587,12.839,7.42,7.092,8.547,63.52863518056964
3211.7,0.079,2.588,12.727,7.069,7.124,8.547,63.429490967193274
3211.8,0.083,2.585,13.689,6.943,7.05,8.547,63.493101593709326
3211.9,0.086,2.58,15.37,6.773,6.939,8.547,65.38651046631604
3212.0,0.091,2.576,17.298,6.64,6.894,8.547,66.33737551628403
3212.1,0.094,2.573,18.375,6.329,6.951,8.547,65.81296349713033
3212.2,0.096,2.572,18.877,6.486,7.044,8.568,66.35772952248571
3212.3,0.099,2.572,20.887,6.548,7.112,8.563,66.4526351666451
3212.4,0.099,2.572,21.295,6.316,7.155,8.562,66.63230301862967
3212.5,0.096,2.572,20.45,5.592,7.183,8.547,66.79449799346335
3212.6,0.092,2.576,18.827,5.592,7.211,8.547,65.62001199586163
3212.7,0.084,2.581,17.492,5.727,7.263,8.562,65.68536569810489
3212.8,0.078,2.588,15.835,6.137,7.335,8.547,65.19949375916546
3212.9,0.071,2.593,13.393,7.032,7.397,8.547,63.557472557818116
3213.0,0.066,2.597,10.844,7.812,7.42,8.547,63.31273065472705
3213.1,0.063,2.599,9.829,7.848,7.405,8.547,63.21981285577267
3213.2,0.063,2.6,8.481,7.592,7.368,8.547,63.11927061836157
3213.3,0.063,2.599,8.32,7.216,7.312,8.547,63.132062113780066
3213.4,0.065,2.597,8.144,7.538,7.251,8.547,63.029484498228996
3213.5,0.066,2.594,7.75,7.68,7.2,8.547,63.15013664633264
3213.6,0.068,2.594,9.245,7.596,7.171,8.547,63.400743197791186
3213.7,0.072,2.594,10.402,7.656,7.151,8.547,63.535931790073406
3213.8,0.076,2.594,11.325,7.411,7.12,8.547,63.652162694619506
3213.9,0.08,2.593,12.784,7.633,7.085,8.57,63.48850729825192
3214.0,0.083,2.59,15.203,7.703,7.07,8.578,65.24406491603504
3214.1,0.086,2.587,18.554,7.579,7.102,8.562,65.6766668132733
3214.2,0.085,2.587,20.025,7.048,7.173,8.555,66.55078868538766
3214.3,0.083,2.591,18.616,6.499,7.258,8.547,65.72401689815348
3214.4,0.08,2.596,18.263,6.329,7.329,8.547,65.57295604895914
3214.5,0.078,2.6,16.943,6.594,7.358,8.547,65.71253902836793
3214.6,0.075,2.601,14.187,7.284,7.331,8.547,63.43917224951778
3214.7,0.073,2.6,13.145,7.516,7.265,8.547,63.226936442096246
3214.8,0.073,2.6,12.699,7.305,7.2,8.547,63.558253374531304
3214.9,0.073,2.602,13.402,7.302,7.188,8.547,63.94665551693072
3215.0,0.074,2.604,14.33,7.244,7.228,8.547,63.67852910669215
3215.1,0.075,2.605,13.41,7.256,7.281,8.547,63.52483511143991
3215.2,0.076,2.603,12.703,7.083,7.312,8.547,63.22590826292975
3215.3,0.077,2.601,13.429,6.957,7.342,8.547,63.633346194608436
3215.4,0.076,2.601,13.971,6.894,7.407,8.547,63.53348710518263
3215.5,0.075,2.602,12.822,6.774,7.496,8.547,63.41278763727993
3215.6,0.074,2.603,11.305,6.633,7.557,8.547,63.4914278928064
3215.7,0.073,2.604,9.215,6.512,7.563,8.547,63.26999723399955
3215.8,0.071,2.604,8.436,6.413,7.561,8.547,63.30009968400633
3215.9,0.068,2.602,7.152,6.465,7.604,8.547,63.271357161178486
3216.0,0.064,2.599,5.712,6.42,7.67,8.562,63.33106703254714
3216.1,0.065,2.595,4.514,6.335,7.696,8.547,63.256522689140496
3216.2,0.066,2.592,4.229,6.129,7.621,8.547,63.25423400683957
3216.3,0.066,2.59,3.942,6.096,7.545,8.547,63.21270064141082
3216.4,0.067,2.591,3.41,6.086,7.469,8.547,63.20797441237582
3216.5,0.069,2.592,3.09,6.071,7.459,8.547,63.084203948536924
3216.6,0.07,2.591,3.538,6.109,7.504,8.547,63.20900594683208
3216.7,0.072,2.587,3.457,5.994,7.577,8.547,63.21430875030772
3216.8,0.073,2.582,3.5,5.75,7.645,8.553,63.33330140181222
3216.9,0.073,2.578,3.23,5.932,7.705,8.555,63.039562266564545
3217.0,0.072,2.578,2.994,5.609,7.753,8.547,63.09543392341645
3217.1,0.072,2.581,3.249,5.852,7.771,8.547,63.38668543495778
3217.2,0.071,2.585,3.125,5.871,7.749,8.547,63.38698499343228
3217.3,0.071,2.59,2.687,5.964,7.716,8.547,63.258174271646
3217.4,0.07,2.594,3.049,6.09,7.703,8.547,63.256961798527755
3217.5,0.067,2.598,3.198,6.152,7.731,8.547,63.32530322490186
3217.6,0.064,2.603,3.535,6.374,7.788,8.547,63.32656396688287
3217.7,0.062,2.607,3.39,6.501,7.867,8.547,63.4130064981551
3217.8,0.061,2.61,3.608,6.701,7.948,8.547,63.41715494769039
3217.9,0.06,2.614,3.53,6.891,8.002,8.547,63.36911218008116
3218.0,0.06,2.618,3.987,6.985,7.987,8.547,63.40154495342648
3218.1,0.06,2.621,4.422,7.135,7.899,8.547,63.402809061281545
3218.2,0.06,2.622,4.772,7.152,7.772,8.547,63.33537919696673
3218.3,0.06,2.622,5.293,7.374,7.664,8.547,63.337846819148396
3218.4,0.06,2.623,5.68,7.426,7.62,8.547,63.3307927668469
3218.5,0.061,2.626,6.344,7.707,7.644,8.547,63.330061926087524
3218.6,0.062,2.629,7.634,7.688,7.702,8.547,63.328361819664494
3218.7,0.064,2.631,9.156,7.685,7.758,8.547,63.5433197565543
3218.8,0.066,2.631,10.329,7.71,7.784,8.547,63.702285288919285
3218.9,0.069,2.63,11.956,7.782,7.761,8.547,63.84535909417055
3219.0,0.073,2.629,14.064,7.861,7.693,8.547,63.59508820848369
3219.1,0.076,2.629,16.685,7.938,7.608,8.547,65.21620093875325
3219.2,0.078,2.63,19.071,7.979,7.547,8.547,65.36691628393015
3219.3,0.078,2.632,21.345,7.798,7.537,8.547,66.04630315420057
3219.4,0.076,2.633,22.362,7.557,7.56,8.547,66.25031648611787
3219.5,0.075,2.634,21.808,7.528,7.58,8.547,66.08667763734631
3219.6,0.074,2.634,22.705,7.515,7.583,8.551,66.23759641067166
3219.7,0.075,2.634,21.473,7.399,7.566,8.549,66.03773469983497
3219.8,0.076,2.636,20.72,7.419,7.567,8.547,65.90240698406208
3219.9,0.078,2.64,20.503,7.422,7.616,8.547,65.92648832787708
3220.0,0.08,2.644,21.013,7.355,7.689,8.547,65.95640366813949
3220.1,0.081,2.643,21.247,6.976,7.688,8.547,65.95519425456999
3220.2,0.084,2.635,21.77,6.399,7.595,8.547,66.12949192763165
3220.3,0.089,2.625,21.749,5.885,7.488,8.547,66.26528164935155
3220.4,0.095,2.618,21.268,5.701,7.405,8.547,66.18482771261145
3220.5,0.102,2.613,22.94,5.62,7.355,8.552,67.20143585985582
3220.6,0.106,2.609,24.754,5.462,7.334,8.555,68.56104343590863
3220.7,0.108,2.605,26.27,5.145,7.332,8.547,68.43846758162015
3220.8,0.106,2.602,27.048,4.527,7.335,8.562,68.57659409288922
3220.9,0.107,2.597,27.39,3.959,7.331,8.547,68.71184939940896
3221.0,0.105,2.593,25.981,3.676,7.324,8.547,68.47188293539124
